County,"Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
Los Angeles,51199099000,47694794000,44084583000,40348490000,37407217000
San Francisco,38652495000,32884391000,35356552000,28328683000,28482374000
Santa Clara,28002820000,26897965000,20868851000,17975734000,16436833000
Orange,20743727000,19001455000,18150256000,16811510000,15400398000
San Diego,18564868000,16484044000,16244563000,14999843000,12979799000
Alameda,10939449000,10130812000,9238027000,8701485000,7979121000
Contra Costa,9372662000,9576833000,12239931000,9030718000,8420237000
San Mateo,6691891000,6174945000,5865155000,5364436000,4850540000
Sacramento,5663573000,5453610000,5093789000,4775163000,4440774000
Riverside,4986541000,4709082000,4481407000,4286782000,3963962000
Ventura,4673061000,4364335000,4179022000,3942486000,3871206000
San Bernardino,3291879000,2987421000,2731039000,2611499000,2466108000
Marin,3270190000,3074491000,2878716000,2721628000,2722370000
Placer,3256014000,3089656000,3057578000,2928405000,2587545000
Sonoma,3058165000,2463261000,2559107000,2509715000,2609339000
Fresno,3039603000,2956894000,2745837000,2472605000,2287956000
Monterey,2247450000,2293871000,2282482000,2247082000,2134979000
Santa Barbara,2093140000,1850542000,1772320000,1809134000,1741325000
Kern,1769097000,1631521000,1534097000,1460339000,1277662000
San Joaquin,1541187000,1462400000,1334889000,1297895000,1225719000
Santa Cruz,1329305000,1238454000,1175719000,1128291000,1074523000
Stanislaus,1318451000,1257340000,1243580000,1218714000,1164572000
San Luis Obispo,958606000,789709000,742449000,700444000,606981000
Solano,829187000,757636000,689715000,658191000,621238000
El Dorado,816764000,675858000,647342000,619943000,595616000
Tulare,677274000,638819000,532864000,504934000,461707000
Napa,667984000,860614000,607630000,570060000,567117000
Yolo,652216000,591114000,555000000,516185000,461097000
Butte,616674000,583194000,570875000,567289000,567475000
Imperial,379419000,346335000,344991000,323760000,337264000
Nevada,373488000,340910000,333283000,314793000,297829000
Shasta,330048000,314065000,303658000,287938000,276529000
Merced,286873000,277412000,246863000,234922000,214865000
Sutter,271735000,265690000,232604000,225746000,216994000
Kings,243965000,227748000,222784000,229262000,220205000
Humboldt,241191000,229859000,222047000,208048000,200744000
Tuolumne,216940000,214086000,209716000,208538000,209712000
Madera,197054000,238964000,232314000,236973000,227321000
San Benito,157698000,150707000,138596000,139611000,138625000
Amador,148582000,139696000,133107000,126879000,129757000
Mendocino,140969000,139978000,139981000,132874000,119776000
Tehama,106721000,101322000,93875000,88552000,83965000
Colusa,105161000,99606000,88963000,96980000,96985000
Lake,101100000,101124000,103405000,104732000,111412000
Calaveras,41995000,36770000,34628000,34386000,31060000
Sierra,8263000,8496000,7571000,7782000,8800000
