"County","Bank Branch Deposits 2015 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2014 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2013 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2012 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $","Bank Branch Deposits 2011 All Holding Companies Wells Fargo Bank National Association All Bank Branches  - Deposits
  - $"
"Ada",2081879000,1939428000,1784267000,1829802000,1561639000
"Kootenai",471469000,438279000,413286000,414886000,406389000
"Bonneville",298501000,318134000,274702000,274799000,267757000
"Twin Falls",287972000,240050000,223240000,214802000,257112000
"Canyon",265820000,238637000,302947000,315125000,329687000
"Bannock",241967000,227280000,218107000,182221000,212349000
"Nez Perce",212497000,199183000,162408000,150317000,152279000
"Blaine",173620000,175396000,150072000,159192000,159979000
"Bonner",163341000,150459000,110113000,122467000,102901000
"Latah",116034000,124830000,143016000,149847000,160631000
"Shoshone",58485000,34157000,34020000,34559000,33656000
"Gem",57535000,57805000,54650000,54086000,52350000
"Idaho",54092000,57786000,55483000,55899000,53582000
"Madison",53244000,50458000,48888000,48407000,40142000
"Bingham",52392000,49989000,50946000,46532000,44211000
"Elmore",50769000,49126000,49855000,49098000,43782000
"Boundary",44338000,42172000,41990000,39366000,37756000
"Cassia",42875000,77411000,72111000,62435000,54167000
"Franklin",37532000,34787000,33011000,35114000,30031000
"Jerome",35659000,33290000,32912000,31458000,30071000
"Lemhi",30366000,29801000,27782000,26888000,25726000
"Payette",27406000,24489000,23780000,23217000,23752000
"Jefferson",26590000,25446000,26555000,23941000,25600000
"Custer",26561000,27933000,27391000,27606000,24550000
"Minidoka",26071000,25426000,25374000,23906000,23082000
"Washington",25968000,24001000,24564000,25078000,25723000
"Benewah",25292000,24833000,24836000,25570000,24390000
"Gooding",22905000,19843000,18136000,19727000,19400000
"Lincoln",22691000,20391000,16289000,15915000,14875000
"Clearwater",21818000,22560000,21797000,20974000,19902000
"Bear Lake",21217000,23933000,24573000,25015000,23879000
"Lewis",17979000,17503000,17571000,19059000,18207000
"Teton",17867000,16411000,14421000,13309000,11527000
"Fremont",17758000,17666000,17721000,18034000,17510000
"Power",17054000,17437000,18017000,17899000,17484000
"Butte",9694000,11157000,9917000,10006000,9803000
